text,category
"Очень приятно было получить в Киевском отделении №15 перевод Western Union после того, как пройдя аллею из 5 банков, столкнулась с различными «выдумками»: нет валюты, зависла техника и т.д. В ПУМБ обслуживание действительно на европейском уровне. ",Positive
"
Плюсы:
+ вежливые и компетентные сотрудники
+ оперативность в решении вопроса
+ очень аккуратное отделение (приятно находиться)

Минусы:
— заявленные на вебсайте условия по кредитованию не соответствуют тем, что есть в реальности
— в 21 столетии нужно ехать в отделение, чтобы узнать действующие условия по кредитованию (зачем же тогда сайт, телефон и пр.??)
",Positive
"Обращалась в отделение банка для получения кредитной карты. Сотрудник Корж Н. рассказала доступно условия пользования картой. Процесс оформления занял мало времени и не пришлось долго ждать решения банка. Также, сотрудник ознакомил с мобильным приложением, где рассказал какие операции в нем можно совершать. Визитом в отделение банка очень довольна.",Positive
"
Покращення умов для клієнтів банку на Рівненщині -це закриття єдиного відділення в місті Рівне. Найближче відділення в місті Львів. Заробітки власника банку важливіші проблем клієнтів банку?
",Positive
"
где то 6 мес.Назад оформил кредит.Оформление было 4 числа.Я попросил что бы оплата по кредиту была 5-6числа.Мне сказали не переживай те.Можно заплатить 5.6.Так и делал.В этих числах приходила зп. и деньги блогополучно списывались до этого месяца.Плотил по 2200.Где то.А в этом месяце пришла просрочка и к оплате 4100.Оказывается изменились правила.И теперь штраф идёт с 1дня просроченного платежа.Раньше был с 2-3дня.А я об этом и не знал.До сегодняшнего дня.И штраф не как заплатить не могу пум онлайн пол дня стабильно не работает.
",Positive
"
Для меня даже странно, что у банка есть немало негативных отзывов. Обычно если какие вопросы по его работе возникают, то прихожу в отделение на Победы, там и решается все сразу, сотрудники объясняют все вежливо и по делу, не увиливают от вопросов, не дезинформируют, не навязывают услуг. Сам держу в этом банке карту платежную, выбрал специально с системой Mastercard, чтобы удобнее и привычнее было. По программе взял Gold, доволен ею, так как условия, как по мне, приемлемые. Консьерж-сервис и ускоренная регистрация при оплате ею просто выручают порой, да и бонусные программы здесь действительно хороши. В частности, больше всего пользуюсь rewards, потому что по ней можно и на реальные товары обменивать накопленное, а бонусы начисляются при абсолютно любой покупке. По-моему, выгодно, да и обслуживание недорогое плюс качественное.
",Positive
"
Стоял в очереди по своему вопросу, а очереди в этом банке — явление привычное, иногда похлеще, чем в Ощаде. Но отзыв не об этом. Обратил внимание на пожилую женщину с книжкой по СДПТ. Поинтересовался, почему именно здесь платит. Выяснил, что р/с ОСМД в Пивденном, и ей прямо приказывают платить только в этом банке! А судя по сумме (200 с чем-то) она платит ежемесячно. И комиссия банка — внимание — 10 гривен! За оплату на свой же счет! Посоветовал ей попробовать освоить П24 — не хочет ругаться.
Я плачу СДПТ трем конторам в разных ОСМД или ЖЭКах. В одном из них счет обслуживается в МТБ, отделение рядом, комиссии вообще нет, и это единственный коммунальный платеж, который я провожу через кассу. Другие платежи СДПТ провожу через П24 со скромной комиссией в 1-2 гривни, плачу я редко и за несколько месяцев. Можно конечно обозвать пожилую женщину лошарой, но как вам позиция банка?
",Positive
"Хочу выразить искреннюю благодарность вашему сотруднику Валентине Михайлюк, замечательный человек, обслуживание невероятное, настроение было улучшено на 100%. Благодаря ей ваш банк стал для меня авторитетным. Искренне прошу отблагодарить такого невероятно хорошего сотрудника.",Positive
"
Найкращі рекомендації!!! Обслуговування на вищому рівні! Отримала кваліфіковану консультацію.
",Positive
"
Ставки по депозитах у відділенні нижчі, ніж на сайті банку.Хто обманює клієнтів: філія чи головний банк?
",Positive
"
Доброго дня. 06.03.20 осуществила перевод на карту клиента вашего банка 5355 0762 2619 5774 Науменко Тетяна Николаевна в размере 2000 тис. грн. Перевод делала с карты приват банка о чем есть запись в личном кабинете пользователя. К моему сожалению этот нехороший человек оказался мошенником. Есть ли возможность как нибудь наказать мошенника и вернуть денежные средства?
",Positive
"
Кваліфіковане якісне обслуговування
",Positive
"
11 марта выехал в командировку в Румынию. Ехал автобусом Черновцы-Сучава. Билет покупал посредством ресурса Busfor виртуальной картой Visa Infinite от Монобанка. На границе предъявил страховку от компании «PZU» на 30 000 евро. В связи с коронным вирусом румынских пограничников она не впечатлила даже при наличии обратного билета в этот же день. Но у меня была вторая страховка, которая доступна держателям карт Visa Signature и Visa Infinite от компани «Chubb», которая подразумевает страховые выплаты до 1 000 000 долларов США. Виртуальная карта Visa Infinite от Монобанка прошла верификацию у упомянутой выше страховой компании. У румынских пограничников отпали все вопросы. Мораль такова. Если выезжаешь за границу 3-4 раза в год есть смысл содержать премиальные карты. От меня Монобанку очередной респект!
",Positive
"
23.01.20 я стал жертвой телефоных мошенников, которые украли с моей кредитной карты большую сумму денег. При этом звонки осуществлялись с официального номера банка (указанного на обратной стороне банковской карты), что и стало причиной доверия к звонившим. Предполагаю, что сотрудники банка частично или полность виновны в этом воровстве. Не могу получить никаких официальных коментариев от банка (писал соответствующие заявлениея, последнее 30.01.2020). Результаты внутреннего расследования мне передать отказались.
",Positive
"Я еще никогда прежде не встречал ни в одном банке такого уровня сервиса как в ПУМБ. Всё на высшем уровне! Особая благодарность Татьяне (руководителю отделения) за заботливое отношение. Она просто, как наша финансовая ""мама"". Благодаря ей в отделении себя чувствуешь комфортно, как у себя дома. Благодарность руководителю отделения.",Positive
"
Понравилось оперативное получение карты. Мгнновенные транзакции без комисионных. Плата за квартиру, телефон… кешбек тоже порадовал. Кредитные не брала, пробовать нету надобности. Пока все нравиься)
",Positive
"Добрый день! Хочу выразить благодарность менеджеру отделения №1 г. Запорожье за оперативную и качественную работу 26.01.2019г. и сотрудникам головного офиса, которые рассматривали заявку на предоставление лимита на кредитную карту. Действительно, оформление и рассмотрение заняло в общей сложности не более часа. При этом, данная услуга мне очень помогла, т.к. другой банк, рассказывая о замечательной услуге рассрочки за товар, просто отказал в ней, не указывая причины и не глядя на доходы, которые были указаны. Спасибо большой команде ПУМБ. Вы лучший банк!",Positive
"
Первый раз обращался в этот банк три года назад.Это было воскресенье и они работали.Не смотря на конец рабочего дня мне всё сделали (выдали карту и прошел индефикацию).Проезжая на следующий день мимо этого банка я увидел сколько было народу и я понял как мне повезло, что в этом банке работают отзывчивые и порядочные люди и мы всё сделали в воскресенье!!! Второй раз менял электронную карту 10 марта 2020г.Парень-операционист выполнил операцию по замене карта дал мне документы и отправил в окошко номер 6.Стоя в очереди я насмотрелся с какими людьми(хотя некоторых и людьми назвать нельзя) приходится работать этому специалисту.Но тем не мене она с каждым ведет себя коректно, вежливо и уважительно не смотря на тупизм и дебилизм у очень многих.После того как я получил карту и пенсию у этого специалиста на улицу вышел с радостью и душевным успокоением.Как мне не быть благодарным этому банку, его руководству, что у него работают такие специалисты!!! Ещё раз огромное СПАСИБО!!!
",Positive
"
Очень хорошее обслуживане, компетентные сотрудники
",Positive
"
Обращалась в отделение этого банка на улице Канатной (г. Одесса) для оформления платежной карты. Оформила себе Mastercard World, именно эту выбрала из-за того что тут есть услуга FastLine. И в целом условия по карте мне понравились. Бонусная программа есть, разные акции. 
Карту мне оформили достаточно быстро. Рассказали про нее подробно. Поэтому самим обслуживанием я довольна. И карта нравится, удобно ей расплачиваться. Первые впечатления пока хорошие.
",Positive
"Признателен всему коллективу Черкасского отделения №2 за оказанную помощь в получении выплаты вклада, размещенного в банке «Михайловском». ",Positive
