text,category
"
Являюсь пользователем дебетной картой Visa Platinum Black. Раньше, когда активно пользовался данной картой, то не задумывался о том, что у нее есть плата за обслуживание, т.к. при оформлении было озвучено, что это бесплатно, но надо соблюсти некоторые условия. Одно из условий: 12 транзакций в месяц, тогда и плата не начисляется. После того, как стал активно пользоваться кредитной картой другого банка, данную карту не использовал, оказалось, что зря. Зайдя в мобильное приложение, чтобы посмотреть минимальный платеж по кредиту на этот месяц, то увидел минусовый баланс на своей дебетовой карте, минус 100грн. за обслуживание. Тут же вспомнил про минимальные условия пользования картой, и решил не рисковать, и в следующем месяце обязательно их выполнить, чтоб снова не потерять 100грн. Совершив 12 транзакций в текущем месяце, был спокоен, что условия выполнены, о чем мог убедиться в течении нескольких первых дней нового месяца, ухода в отрицательный баланс приложение не показывало. Зато сегодня уторм, 05.02.2020г. опять обнаружил списание 100грн (щомісячна комісія за обслуговування пакета банківських послуг). КАК ТАК???
Решил проверить, открыв на сайте банка тарифы по данному типу карт, увидел, что стоимость варьируется: 0грн/мес за совершенные покупки в количестве от 12шт/мес, и 100грн/мес за количество покупок до 12шт/мес.
А именно 12 покупок, это ОТ или ДО… Видимо каждая сторона считает по своему… или я чего-то не понимаю. Жаль терять очередные 100грн на ровном месте, хотя годовое обслуживание стоит всего 200грн. Будте осторожны!!!
",Positive
"
ИМХО, лучший банк. Удобно, хорошие условия по кредитной карте, спасибо за белую дебетовую. Саппорт в мессенджерах отвечает быстро (и в Вайбер, и в Телеграмм), и дозвониться — не вопрос. Классные стикеры с монокотом, вот поздравили с 8 марта тоже прикольно. Приятно и комфортно. Пополняю телефон, коммуналка, снимаю деньги, перевожу на карты другим. Пока очень довольна, тьфу-тьфу, чтобы не сглазить.
Были бы ещё карты для соцвыплат — перешла бы на обслуживание полностью.
",Positive
"
Діденко Олена компетентно надала допомогу у вирішенні мого питання. Дане відділення можу рекомендувати
",Positive
"
Во многом доволен сотрудничеством с этим банком, удобная и понятная система банкинг-онлайн, быстро перечисляются деньги, как-то перечислил деньги не туда (бывает такое), надо сказать быстро вернулись, сотрудники в отделениях в основном вежливые, хамства не замечал, в колл-центр легко дозвонится, объясняют доходчиво.
",Positive
"
Не понимаю почему такие плохие отзывы. Прочитала несколько десятков уже. Может это отзывы с других банков для того чтобы отбить клиентов? Если бы не являлась уже их клиентом то наверное и не ставала бы после прочитанного. Брала кредит на товар, досих пор пользуюсь кредиткой, очень удобно, и слава Богу нет никаких проблем, так как не приятный опыт уже есть с Приватом и Дельта. Там объяснили мне что попался не опытный или не добросовестный сотрудник, который на то время к сожалению уже не работал ни в одном ни в другом банке, пришлось платить, а платила я «реальное бабло». Ну такое, расчищались. В банке Пумб как то проще мне на много, нет каких-то странных комиссий не пойми за что, штрафов за пол часа прострочки, так как в некоторых!!! И этих же самых скрытых штрафов за которые узнаешь через год или два. 
Помню так удивилась не давно,
Надо было сплатить кредитный лимит, сделала это как всегда в последний день, пока не прижмёт! Были выходные, деньги не успели попасть на счёт, позвонили с банка, вежливо представились, напомнили что я не погасила кредит в строки положенные, на что я ответила что уже перечислила, просто не дошли пока, извинились за беспокойство и пожелали хорошего дня. 
Или как перечисляла деньги на другую карту просто через интернет, мне позвонили и посоветовали скачать преложение чтоб не платить комиссию, и в дополнение рассказали об новых услугах. Пополнение других карт кстати через это приложение бесплатное, так же пополнение своей Карты Пумб через айбокс так же без процентов.Так же лично для меня очень удобно то что после любого поступления или списания денег даже в метро, 8 грн, приходит бесплатное оповещение на телефон 
Мне очень нравится, я уже всем рекомендовала банк Пумб, и дальше буду продолжать. Так держать!!! Ждём новых обновлений!!!
",Positive
"
Очень нравятся тарифы по дебетовой карте, особенно то, что нету комиссии на входящую сумму, как в приватовской карте для выплат. И так же можно снять без той же комиссии. Крутая фишка у тарифа Platinum Black в том, что карта именная, с чипом и бесконтактом и самое крутое на ней не выбит номер карты, что для такого рассеянного человека как я, просто находка) А сам номер можно увидеть в приложении. Как по мне это достаточно удобно. + по этой карте доступные доп.услуги от VISA в аэропорту и при этом на бесплатной основе, главное выполнить не самое сложное условие (особенно для человека, который может себе позволить летать за границу). Единственный нюанс, тариф карты рассчитан на активное ее использование, т.е. «забить» на ее наличие года на пол не вариант. Но как мне кажется это не такая уж проблема, особенно учитывая, что можно бесплатно в рамках этого же пакета услуг (Platinum Black) сделать еще три карты. Очень удобно, я так на имя сына сделала карту для карманных средств. При том, что счета разные, и я могу контролировать сумму на балансе и траты своего ребенка, а он в свою очередь учится пользоваться банковской картой и распределять свои карманные.
Интернет-банкинг вполне себе удобен и информативен, в приложении вообще все очень легко и интуитивно понятно. Особенно классно то, что я сама могу менять лимиты на покупки и снятие наличных сама и в любое время. кешбек в приложении не плох, хоть и надо оплачивать сумму покупки, а не просто выводить на карту, но с 50грн, и опять же, если часто ей пользоваться это не проблема. Само приложение интуитивно понятно, достаточно пару раз потыкать в разные вкладки.
На счет обслуживания. Ребята в чате и на горячей линии очень вежливые, хорошо объясняют и всегда готовы помочь. Мне очень понятно и подробно рассказали о кешбеке и как им пользоваться, когда я обращалась, еще только открыв в банке карточку. Было приятно пообщаться. Круто то, что в чате мне отвечали всегда очень быстро и по сути, а при некоторых вопросах заказывали звонок с кол-центра.
Считаю это очень удобным.
В общем я довольна тем, что выбрала Альфа-Банк. Тарифы понятные и удобные, главное не полениться и ознакомиться детально, а также не лениться читать новости в приложении или на их оф.сайте.
",Positive
"
Это был мой второй кредит в А-банке. Лет 10 назад я обратилась в этот банк, так как мне понадобились срочно деньги, и здесь мне выдали кредит, который я успешно досрочно погасила.У меня остались приятные воспоминания о работе этого банка- достойный сервис, уважительное отношение ко мне, как к клиенту. В прошлом, 2019 году мы с мужем проанализировали нашу финансовую ситуацию и поняли, что на мне «висит» кредит (это в другом банке), который для нас был каким-то ярмом, и хотя мы вносили ежемесячно платежи, сумма практически не изменялась на протяжении полутора лет- насчитывались космические проценты, и списывались, по сути, только проценты, а «тело» кредита не уменьшалось. Иногда бывало, что я забуду вовремя внести необходимую сумму на кредитную карту, буквально на один день, сразу начислялись штрафы. Понятно, что такая ситуация нас с мужем очень напрягала и финансово, и просто морально. И вот в один прекрасный день мы подумали, что неплохо было бы закрыть этот злосчастный кредит, потому, что поняли, что это -«долгоиграющая пластинка», а нас это не устраивало. Рассматривали разные варианты, но все были не выгодны для нас. И тут я вспоминаю об А-банке. Мы решили обратиться в этот банк. Менеджеру я описала свою ситуацию, она мне предложила очень выгодный вариант, просчитала и прописала мне ежемесячные платежи и на 12 месяцев и на 6 месяцев. Мы посоветовались и решили взять здесь кредит для перекредитования, так как в этом банке оказались для нас самые лучшие условия, и переплата по сравнению с другими банками, меньше. Сказано-сделано. Взяв кредит в А-банке, сразу погасили кредит в другом банке. Естественно, стали ежемесячно вносить платежи, причем старались внести сумму чуть больше, чем необходимо было. Взяли мы кредит в августе 2019 года, в феврале должен быть последний платеж, но мы закрыли кредит на месяц раньше, чему очень рады. В отделении А-банка, куда мы обратились, все менеджеры приветливые, клиентоориентированные, как принято говорить, очень вежливые. Доказывает это ситуация, когда мы пришли, чтобы внести последний платеж, под конец рабочего дня. Мы вошли в банк чуть ли не в половине шестого вечера, и были встречены менеджерами так, как будто до конца рабочего дня не оставались считанные минуты. Потом очередь в кассу-кстати, здесь всегда есть клиенты, и это тоже свидетельствует о привлекательности банка для клиентов.Я думала, что нас попросят прийти в другой раз, так как рабочее время заканчивалось, но к моему приятному удивлению, сотрудники банка вели себя, как будто это был разгар трудового дня, и бровью не повели, и намека никакого не высказали, что, мол, раньше приходить надо. Кассир нас обслуживала, когда на часах был уже седьмой час. И, надо сказать, очень профессионально, на высшем уровне. Коллектив в этом отделении, как на подбор, все очень приятные молодые люди, готовые помочь, стрессоустойчивые, что немаловажно-клиенты разные ведь бывают. Уверена, что если бы даже случилась какая-то непредвиденная ситуация, менеджеры и кассир продолжали бы работу, как ни в чем не бывало,- по всему видно, что клиент для них- самый главный человек. Я так благодарна этим людям за их прекрасный труд! У нас с мужем остались самые приятные впечатления от обращения в этот банк. Думаю и дальше сотрудничать с этими ребятами, они-лучшие! Огромная вам благодарность! Вы- настоящие профи!
",Positive
"
Была сегодня в отделении Укргазбанка по ул.Заводской 53 города Павлоград.Осталась довольна.Обслуживание клиентов намного лучше, чем на ул.Соборная 107/3.
Хоть одно нормальное отделение на город.
",Positive
"
Дуже швидкий та зрозумілий, мобільний додаток! Вигідний курс обміну в онлайні! Та можливість з карт знімати в будь якому банкоматі без комісії 
Рекомендую
",Positive
"
Стоял в очереди по своему вопросу, а очереди в этом банке — явление привычное, иногда похлеще, чем в Ощаде. Но отзыв не об этом. Обратил внимание на пожилую женщину с книжкой по СДПТ. Поинтересовался, почему именно здесь платит. Выяснил, что р/с ОСМД в Пивденном, и ей прямо приказывают платить только в этом банке! А судя по сумме (200 с чем-то) она платит ежемесячно. И комиссия банка — внимание — 10 гривен! За оплату на свой же счет! Посоветовал ей попробовать освоить П24 — не хочет ругаться.
Я плачу СДПТ трем конторам в разных ОСМД или ЖЭКах. В одном из них счет обслуживается в МТБ, отделение рядом, комиссии вообще нет, и это единственный коммунальный платеж, который я провожу через кассу. Другие платежи СДПТ провожу через П24 со скромной комиссией в 1-2 гривни, плачу я редко и за несколько месяцев. Можно конечно обозвать пожилую женщину лошарой, но как вам позиция банка?
",Positive
