text,category
"Я хочу оставить благодарность! Неоднократно обращалась в отделение нашего банка в г. Ровно и всегда обслуживание было на высшем уровне. Работа с нашим банком всегда быстрая, без дополнительных проблем, все четко и профессионально. В целом, я очень довольна банком.",Positive
"Хочу оставить благодарность для сотрудника отделения г. Полтава отделение №3 Чайку Алёну. Очень доволен креативным мышлением сотрудника и за очень быстрое решение моей проблемы. Хочу акцентировать внимание на том, что сотрудник по-современному подошел к решению вопроса, воспользовавшись ПУМБ Онлайн. Я не сидел в очереди и за это очень благодарен.",Positive
"Желаю оставить благодарность для работника отделения банка г. Херсон пр. Ушакова, 58 руководителю отделения Таросовой Наталье Владимировне за ее профессионализм в работе, и то, что Наталья Владимировна - профессионал в своем деле, что помогла решить проблему. То, что она добрая и ответственная.",Positive
"Обращалась в отделение банка для получения кредитной карты. Сотрудник Корж Н. рассказала доступно условия пользования картой. Процесс оформления занял мало времени и не пришлось долго ждать решения банка. Также, сотрудник ознакомил с мобильным приложением, где рассказал какие операции в нем можно совершать. Визитом в отделение банка очень довольна.",Positive
"Я еще никогда прежде не встречал ни в одном банке такого уровня сервиса как в ПУМБ. Всё на высшем уровне! Особая благодарность Татьяне (руководителю отделения) за заботливое отношение. Она просто, как наша финансовая ""мама"". Благодаря ей в отделении себя чувствуешь комфортно, как у себя дома. Благодарность руководителю отделения.",Positive
"Хочу выразить искреннюю благодарность вашему сотруднику Валентине Михайлюк, замечательный человек, обслуживание невероятное, настроение было улучшено на 100%. Благодаря ей ваш банк стал для меня авторитетным. Искренне прошу отблагодарить такого невероятно хорошего сотрудника.",Positive
"Работа Вашего Банка ПУМБ, а именно центральное отделение, на высоком уровне. Работники Банка ведут себя вежливо, на вопросы отвечают оперативно и обслуживают быстро, без особых задержек и потери времени. Огромное всем спасибо, кто организовывает так работу, а ребята, дежурящие при входе, заслуживают поощрения и продвижения по работе. Они просто молодцы! Огромное спасибо и удачи.",Positive
"В очередной раз сотрудники ПУМБ приятно поразили своим профессионализмом, лояльностью, желанием оказать помощь и знанием банковских возможностей. Особенно хотел бы отметить Кураксина Владимира. Впервые встречаю такого сотрудника банка, который бы в нерабочее время поехал бы защищать интересы своего клиента в Пенсионный фонд (Шевченковский р-н., г. Харьков) и всё-таки смог отстоять свою позицию, и вернуть клиента в ПУМБ из ""Приват Банка"", куда был переведен его пенсионный счет абсолютно обманным путем. Успехов Вам и дальнейшего развития.",Positive
"15.05.2019 я обратился в отделение банка для получения своей пенсионной карты по сроку. Получил талон для обслуживания в электронной очереди и присел ожидать вызова оператора. Все сотрудники в этот момент обслуживали других клиентов, в очереди ожидало 2-3 клиента. Я обратился к начальнику сотрудников этого отделения и озвучил по какому вопросу ожидаю. Руководитель провела меня к встречающему у входа сотруднику Галинач Карине, которая в этот момент была свободна и попросила обслужить меня. Я благодарен начальнику за добросовестное отношение к своим служебным обязанностям, уважение со стороны подчиненных, которые, в свою очередь, обслуживают клиентов с высокой степенью культуры и знанием дела. Я прошу поощрить начальника Блохину Д.Ю.",Positive
"Сегодня, 16.03 второй раз пользовался услугами банка, а именно покупал доллары. США. Поразило обслуживание. Кассир заслуживает похвалы. Это настоящий европейский банк. Спасибо Вашим сотрудникам! И напоследок: ""Мы работаем для Вас, приходите!"" – это впечатляет.",Positive
