text,category
"
Категорически не рекомендую фрилансерам и для получения SWIFT платежей. Комисия может достигать 60% от суммы. В ответ нам жаль. И все вот такие дела. Приват пока рулит.
",Negative
"
Увидел рекламу монобанк и захотел оформить карту. Оформить было легко и быстро. Удобное приложение, операции все делаются просто. Но когда первый раз обратился в поддержку через чат и задал прямой вопрос об оплате частями, получил много текста без нужного и простого ответа. Пока я сам не ответил на сам вопрос, оператор где то летал. Перевёл депозит с привата, в описании написано что возвращают комиссию через кеш бек (нет никаких но). Кеш бека никакого нет, обратился в поддержку и началось «а вы докажите, что с вас взяли комиссию». Почему я должен доказывать? Где это было написано при оформлении? Приват наверное все отправляет без комиссии… Пригласил друга оформить карту, он установил приложение но карту не активировал, прошло пол года и он говорит кинь ссылку я оформлю чтобы тебе кеш бек был, кинул и он активировал карту. Кеш бека нет) поддержке уже не пишу, понимаю что нет смысла. Надеюсь когда депозиты закончатся смогу без проблем их вывести.
",Negative
"
Понравилось оперативное получение карты. Мгнновенные транзакции без комисионных. Плата за квартиру, телефон… кешбек тоже порадовал. Кредитные не брала, пробовать нету надобности. Пока все нравиься)
",Positive
"
Мне около полугода не могу разблокировать 4000 грн.Рассказывают, что ведётся расследование. Последняя транзакция была 21.10.2019 сегодня уже 11.03.2020.На вопрос почему так долго не отвечают, думаю обращаться в НБУ.Уже достали меня
",Negative
"
Самый ужасный банк, в майле на много вопросов не отвечают.Сегодня стал свидетелем, как у друга украли с карты 20 тысяч грн и они предложили обратиться в полицию.Даже ничего не объяснили
",Negative
"
НЕ РЕКОМЕНДУЮ ЭТОТ БАНК!
Ситуация возникла 28 февраля, на карту скинули 5 тыс грн, одолжила у подруги (лучше бы съездила наличные взяла одолжила), карту заблокировали попросили документы кто, за что, почему и так далее скинул деньги, объяснила что одолжила у знакомой денег, так они мне ответили что их не интересует данная сума( 5 тыс грн) они хотят что бы я предоставила документы за сумму которая поступила мне на карту больше 2ух мес назад. Ну я опять объяснять за что, кто, почему скинул деньги на карту, и подтвердить если и могла бы чем то, то спустя два месяца уже ничего нет, переписки как они просят или еще что либо…
На сегодняшний день все что они отвечают ваши пояснения приняты и находятся на проверке, ничего что прошло уже почти 2 недели( 
Как теперь забрать деньги и попрощаться с ними не представляю(
",Negative
"
Простота обслуживания, приложение моно-банка просто радует, есть возможность ложить средства на депозит, отличный кешбэк, деньги всегда на виду! Ставлю пять звезд, другого банка с такими возможностями для клиента в Украине нет!
Желаю успехов разработчикам данного банка!
",Positive
"
Ситуация, обманули в интернете, вводом в заблуждение выдурили в парне 30 тысяч, написал в полицию и написал монобанку на оспаривание (чарджбек) сначала они отрицали это, говорили что у них чарджбек не возможен, потом как наехал на них согласились, по их запросу предоставил всю информацию, все доказательства, скрин заявления в полицию диалоги и т. д, даже написал им коды VISA (причины оспаривания) из платежной системы visa, они все приняли сказали ожидать, и тут ситуация, две недели заявка в работе, заявка на анализе у сотрудников, за это время мошейники изменили банки, закрылись и заново открылись, а у них сотрудники до сих пор «анализируют»и не предпринял до сих пор ни каких мер, в итоге уже шансов 0 (хотя я им предоставил всего в достаточном количестве, проделал даже за них их работу, указал им законы, основания для возврата платежей, и без спорные доказательства мошенничества и не законности организации) 
Итог, деньги свои я уже не верну. Отозвал заявление на оспартвание, закрыл у них счета, попрощался мысленно с деньгами. Рад что закрыл карты, и жалею что пользовался этим банком. Не ожидал от них. На секундочку, я предприниматель оборот по карте по 50-100 тысяч в месяц был в их банке
",Negative
"
Здравствуйте!

Только что оставил рекомендацию по улучшению приложения (как по мне), но этот отзыв я должен опубликовать отдельно.

У меня была ситуация, которую я расписывать не буду, смысла в этом нет, как мне кажется — вкратце — переезд. Дело в другом. Я обратился в банк с просьбой пойти мне на уступки, так как была определенная ситуация. Я хоть и оптимист, но на банк в данном вопросе не рассчитывал. Формально они могли мне отказать, и были бы правы — все просто, есть договор, и банк действует в соответствии с ним. Тем не менее, я обратился в чат. Мне сказали, что на решение уйдет время, и мне сообщат ответ. Изначально писали о двух днях, все затянулось до недели. В итоге звонит сотрудник Моно, и сообщает, что банк пошел мне, как клиенту на уступки, на что я особо не рассчитывал, как написал выше. Так вот. Я не знаю, у кого пропадают деньги, не знаю, у кого блокируют счета. У меня все нормально работает.

До этого я рассматривал очень сильно карту Форварда, так как там более высокий кэшбек, и вроде бы, если не ошибаюсь, нет комиссии при пополнении и снятии. Но после этого я фанат Монобанка.

Маленький не зачет — с опозданием приходят уведомления о поступлении средств и проведении покупок. Раньше буквально сразу же был звуковой сигнал о снятии денег, сейчас же задержка может доходить до 15-20 минут. Не знаю, может связано с большей нагрузкой, чем было ранее.

Ну а так, как написал, я ваш фанат!
",Positive
"
Здравствуйте!

Неплохо смотрится вкладка с бюджетом по картам, где по секторам разделены все траты — сколько я потратил на продукты, сколько на транспорт и тд. Но есть одно но, которое лично мне бы хотелось поправить.

Идея в чем — я стараюсь вести учет своих денег через сторонние приложения, где есть в принципе те же самые категории, только их немного больше. Каждую трату вносить не совсем удобно. Было бы круто, если при нажатии на определенную категорию будет открываться перечень со всеми тратами, которые я провел в том или ином месяце.

Например, условно у меня бюджет 1000 грн. Я захожу сейчас, и вижу — 500 грн. я потратил на продукты, и 500 грн. коммуналка. И при нажатии на «Продукты» у меня открывается полный перечень всех трат из этой категории, чтобы я мог четко понимать более детально картину.

Спасибо!
",Positive
